transactionId,debtorIban,creditorIban,amount,currency,instructedAt,status
e9d0e1f2-3a4b-5c6d-7e8f-9a0b1c2d3e4f,FR7630006000011234567890189,ES9121000418450200051332,-100.00,EUR,2026-01-13T15:20:00,REJECTED
f9e0f1a2-3b4c-5d6e-7f8a-9b0c1d2e3f4a,ES9121000418450200051332,DE89370400440532013000,1000000.00,EUR,2026-01-17T18:10:00,REJECTED
e0f1a2b3-4c5d-6e7f-8a9b-0c1d2e3f4a5b,NL91ABNA0417164300,FR7630006000011234567890189,10.00,USD,2026-01-23T20:00:00,REJECTED
f0a1b2c3-4d5e-6f7a-8b9c-0d1e2f3a4b5c,DE89370400440532013000,ES9121000418450200051332,5.00,EUR,2025-12-01T10:00:00,REJECTED
e1b2c3d4-5f6a-7b8c-9d0e-1f2e3d4c5b6a,FR7630006000011234567890189,NL91ABNA0417164300,0.00,EUR,2026-01-03T09:00:00,REJECTED
f1c2d3e4-5a6b-7c8d-9e0f-1a2b3c4d5e6f,ES9121000418450200051332,FR7630006000011234567890189,100.00,EUR,2026-01-27T21:00:00,VALID
e2d3f4a5-6b7c-8d9e-0f1a-2b3c4d5e6f7a,NL91ABNA0417164300,DE89370400440532013000,200.00,EUR,2026-01-02T22:00:00,VALID
f2a3b4c5-6d7e-8f9a-0b1c-2d3e4f5a6b7c,DE89370400440532013000,NL91ABNA0417164300,300.00,EUR,2026-01-06T23:00:00,VALID
e3b4c5d6-7f8a-9b0c-1d2e-3f4a5b6c7d8e,FR7630006000011234567890189,ES9121000418450200051332,400.00,EUR,2026-01-11T06:00:00,VALID
f3c4d5e6-7a8b-9c0d-1e2f-3a4b5c6d7e8f,ES9121000418450200051332,DE89370400440532013000,500.00,EUR,2026-01-16T05:00:00,VALID
e4d5e6f7-8a9b-0c1d-2e3f-4a5b6c7d8e9f,NL91ABNA0417164300,FR7630006000011234567890189,600.00,EUR,2026-01-21T04:00:00,VALID
f4a5b6c7-8d9e-0f1a-2b3c-4d5e6f7a8b9c,DE89370400440532013000,ES9121000418450200051332,700.00,EUR,2026-01-26T03:00:00,VALID
e5b6c7d8-9e0f-1a2b-3c4d-5e6f7a8b9c0d,FR7630006000011234567890189,NL91ABNA0417164300,800.00,EUR,2026-01-31T02:00:00,VALID
f5c6d7e8-9a0b-1c2d-3e4f-5a6b7c8d9e0f,ES9121000418450200051332,DE89370400440532013000,900.00,EUR,2026-01-04T01:00:00,VALID
e6d7e8f9-0a1b-2c3d-4e5f-6a7b8c9d0e1f,NL91ABNA0417164300,FR7630006000011234567890189,1000.00,EUR,2026-01-09T00:00:00,VALID
f6b7c8d9-0e1f-2a3b-4c5d-6e7f8a9b0c1d,DE89370400440532013000,NL91ABNA0417164300,1100.00,EUR,2026-01-14T23:59:00,VALID
e7c8d9e0-1f2a-3b4c-5d6e-7f8a9b0c1d2e,FR7630006000011234567890189,ES9121000418450200051332,1200.00,EUR,2026-01-19T22:59:00,VALID
f7d8e9f0-1a2b-3c4d-5e6f-7a8b9c0d1e2f,ES9121000418450200051332,DE89370400440532013000,1300.00,EUR,2026-01-24T21:59:00,VALID
e8d9e0f1-2a3b-4c5d-6e7f-8a9b0c1d2e3f,NL91ABNA0417164300,FR7630006000011234567890189,1400.00,EUR,2026-01-29T20:59:00,VALID
f8e9f0a1-2b3c-4d5e-6f7a-8b9c0d1e2f3a,DE89370400440532013000,NL91ABNA0417164300,1500.00,EUR,2026-01-07T19:59:00,VALID
e9f0a1b2-3c4d-5e6f-7a8b-9c0d1e2f3a4b,FR7630006000011234567890189,ES9121000418450200051332,1600.00,EUR,2026-01-12T18:59:00,VALID
f9a0b1c2-3d4e-5f6a-7b8c-9d0e1f2a3b4c,ES9121000418450200051332,DE89370400440532013000,1700.00,EUR,2026-01-17T17:59:00,VALID
e0a1b2c3-4d5e-6f7a-8b9c-0d1e2f3a4b5c,NL91ABNA0417164300,FR7630006000011234567890189,1800.00,EUR,2026-01-22T16:59:00,VALID
f0b1c2d3-4e5f-6a7b-8c9d-0e1f2a3b4c5d,DE89370400440532013000,NL91ABNA0417164300,1900.00,EUR,2026-01-27T15:59:00,VALID
e1c2d3e4-5a6b-7c8d-9e0f-1a2b3c4d5e6f,FR7630006000011234567890189,ES9121000418450200051332,2000.00,EUR,2026-01-01T14:59:00,VALID
f1d2e3f4-5a6b-7c8d-9e0f-1a2b3c4d5e6f,ES9121000418450200051332,DE89370400440532013000,2100.00,EUR,2026-01-06T13:59:00,VALID
e2f3a4b5-6c7d-8e9f-0a1b-2c3d4e5f6a7b,NL91ABNA0417164300,FR7630006000011234567890189,2200.00,EUR,2026-01-11T12:59:00,VALID
f2b3c4d5-6e7f-8a9b-0c1d-2e3f4a5b6c7d,DE89370400440532013000,NL91ABNA0417164300,2300.00,EUR,2026-01-16T11:59:00,VALID
e3c4d5e6-7a8b-9c0d-1e2f-3a4b5c6d7e8f,FR7630006000011234567890189,ES9121000418450200051332,2400.00,EUR,2026-01-21T10:59:00,VALID
f3d4e5f6-7a8b-9c0d-1e2f-3a4b5c6d7e8f,ES9121000418450200051332,DE89370400440532013000,2500.00,EUR,2026-01-26T09:59:00,VALID
e4f5a6b7-8c9d-0e1f-2a3b-4c5d6e7f8a9b,NL91ABNA0417164300,FR7630006000011234567890189,2600.00,EUR,2026-01-31T08:59:00,VALID
f4b5c6d7-8e9f-0a1b-2c3d-4e5f6a7b8c9d,DE89370400440532013000,NL91ABNA0417164300,2700.00,EUR,2026-01-05T07:59:00,VALID
e5c6d7e8-9a0b-1c2d-3e4f-5a6b7c8d9e0f,FR7630006000011234567890189,ES9121000418450200051332,2800.00,EUR,2026-01-10T06:59:00,VALID
f5d6e7f8-9a0b-1c2d-3e4f-5a6b7c8d9e0f,ES9121000418450200051332,DE89370400440532013000,2900.00,EUR,2026-01-15T05:59:00,VALID
e6f7a8b9-0c1d-2e3f-4a5b-6c7d8e9f0a1b,NL91ABNA0417164300,FR7630006000011234567890189,3000.00,EUR,2026-01-20T04:59:00,VALID
f6c7d8e9-0a1b-2c3d-4e5f-6a7b8c9d0e1f,DE89370400440532013000,NL91ABNA0417164300,3100.00,EUR,2026-01-25T03:59:00,VALID
e7d8e9f0-1a2b-3c4d-5e6f-7a8b9c0d1e2f,FR7630006000011234567890189,ES9121000418450200051332,3200.00,EUR,2026-01-30T02:59:00,VALID
f7e8f9a0-1b2c-3d4e-5f6a-7b8c9d0e1f2a,ES9121000418450200051332,DE89370400440532013000,3300.00,EUR,2026-01-04T01:59:00,VALID
e8f9a0b1-2c3d-4e5f-6a7b-8c9d0e1f2a3b,NL91ABNA0417164300,FR7630006000011234567890189,3400.00,EUR,2026-01-09T00:59:00,VALID
f8a9b0c1-2d3e-4f5a-6b7c-8d9e0f1a2b3c,DE89370400440532013000,NL91ABNA0417164300,3500.00,EUR,2026-01-14T23:00:00,VALID
e9b0c1d2-3e4f-5a6b-7c8d-9e0f1a2b3c4d,FR7630006000011234567890189,ES9121000418450200051332,3600.00,EUR,2026-01-19T22:00:00,VALID
f9c0d1e2-3f4a-5b6c-7d8e-9f0a1b2c3d4e,ES9121000418450200051332,DE89370400440532013000,3700.00,EUR,2026-01-24T21:00:00,VALID
e0c1d2e3-4f5a-6b7c-8d9e-0f1a2b3c4d5e,NL91ABNA0417164300,FR7630006000011234567890189,3800.00,EUR,2026-01-29T20:00:00,VALID
f0d1e2f3-4a5b-6c7d-8e9f-0a1b2c3d4e5f,DE89370400440532013000,NL91ABNA0417164300,3900.00,EUR,2026-01-07T19:00:00,VALID
e1d2e3f4-5a6b-7c8d-9e0f-1a2b3c4d5e6f,FR7630006000011234567890189,ES9121000418450200051332,4000.00,EUR,2026-01-12T18:00:00,VALID
f1e2f3a4-5b6c-7d8e-9f0a-1b2c3d4e5f6a,ES9121000418450200051332,DE89370400440532013000,4100.00,EUR,2026-01-17T17:00:00,VALID
e2e3f4a5-6b7c-8d9e-0f1a-2b3c4d5e6f7a,NL91ABNA0417164300,FR7630006000011234567890189,4200.00,EUR,2026-01-22T16:00:00,VALID
f2e3f4a5-6b7c-8d9e-0f1a-2b3c4d5e6f7a,DE89370400440532013000,NL91ABNA0417164300,4300.00,EUR,2026-01-27T15:00:00,VALID
e3e4f5a6-7b8c-9d0e-1f2a-3b4c5d6e7f8a,FR7630006000011234567890189,ES9121000418450200051332,4400.00,EUR,2026-01-01T14:00:00,VALID
f3e4f5a6-7b8c-9d0e-1f2a-3b4c5d6e7f8a,ES9121000418450200051332,DE89370400440532013000,4500.00,EUR,2026-01-06T13:00:00,VALID
e4e5f6a7-8b9c-0d1e-2f3a-4b5c6d7e8f9a,NL91ABNA0417164300,FR7630006000011234567890189,4600.00,EUR,2026-01-11T12:00:00,VALID
f4e5f6a7-8b9c-0d1e-2f3a-4b5c6d7e8f9a,DE89370400440532013000,NL91ABNA0417164300,4700.00,EUR,2026-01-16T11:00:00,VALID
e5e6f7a8-9b0c-1d2e-3f4a-5b6c7d8e9f0a,FR7630006000011234567890189,ES9121000418450200051332,4800.00,EUR,2026-01-21T10:00:00,VALID
f5e6f7a8-9b0c-1d2e-3f4a-5b6c7d8e9f0a,ES9121000418450200051332,DE89370400440532013000,4900.00,EUR,2026-01-26T09:00:00,VALID
e6e7f8a9-0b1c-2d3e-4f5a-6b7c8d9e0f1a,NL91ABNA0417164300,FR7630006000011234567890189,5000.00,EUR,2026-01-31T08:00:00,VALID
